freq,SPL,phase
6690.0,150.80684,1829.79893
6700.0,151.0285,1831.18671
6710.0,151.12944,1833.2037
6720.0,151.11199,1834.99667
6730.0,151.00298,1836.63057
6740.0,150.79905,1837.67016
6750.0,150.57558,1837.97916
6760.0,150.34948,1837.6964
6770.0,150.17399,1836.71696
6780.0,150.08653,1835.32447
6790.0,150.07107,1833.68704
6800.0,150.15995,1832.08539
6810.0,150.33742,1830.72294
6820.0,150.60629,1829.8105
6830.0,150.90772,1829.36409
6840.0,151.24293,1829.70376
6850.0,151.54044,1830.81785
6860.0,151.739,1832.61016
6870.0,151.81463,1834.82538
6880.0,151.76752,1836.8484
6890.0,151.58266,1838.44942
6900.0,151.34264,1839.3369
6910.0,151.08209,1839.21608
6920.0,150.85575,1838.47563
6930.0,150.70392,1837.22391
6940.0,150.6297,1835.51177
6950.0,150.69761,1833.73682
6960.0,150.85589,1832.08309
6970.0,151.10915,1830.81793
6980.0,151.4218,1830.14169
6990.0,151.77398,1830.30327
7000.0,152.09148,1831.26152
7010.0,152.33772,1833.06127
7020.0,152.45546,1835.29697
7030.0,152.4104,1837.48475
7040.0,152.23711,1839.21411
7050.0,151.98922,1840.10204
7060.0,151.72231,1840.16172
7070.0,151.48734,1839.45783
7080.0,151.32521,1838.02936
7090.0,151.28028,1836.38245
7100.0,151.33659,1834.54703
7110.0,151.50218,1832.95957
7120.0,151.75645,1831.65824
7130.0,152.07822,1831.13188
7140.0,152.42767,1831.41126
7150.0,152.7303,1832.52985
7160.0,152.94282,1834.26791
7170.0,153.0384,1836.43244
7180.0,152.96594,1838.48501
7190.0,152.78082,1839.97742
7200.0,152.54113,1840.67683
7210.0,152.29476,1840.45022
7220.0,152.09426,1839.64931
7230.0,151.96845,1838.24532
7240.0,151.95319,1836.50073
7250.0,152.04154,1834.82833
7260.0,152.23482,1833.31374
7270.0,152.51842,1832.35647
7280.0,152.83061,1832.03616
7290.0,153.16615,1832.68306
7300.0,153.43327,1834.05234
7310.0,153.59214,1836.08136
7320.0,153.59715,1838.11693
7330.0,153.48129,1839.85768
7340.0,153.25615,1840.89319
7350.0,153.0016,1841.0442
7360.0,152.78853,1840.45652
7370.0,152.64212,1839.14555
7380.0,152.6025,1837.50024
7390.0,152.66066,1835.82944
7400.0,152.828,1834.39175
7410.0,153.09674,1833.27899
7420.0,153.4124,1832.96591
7430.0,153.72325,1833.48811
7440.0,153.99152,1834.75505
7450.0,154.13804,1836.53773
7460.0,154.15883,1838.37651
7470.0,154.06642,1840.02765
7480.0,153.85745,1840.8784
7490.0,153.64348,1840.96055
7500.0,153.45935,1840.43809
7510.0,153.33739,1839.30109
7520.0,153.31876,1837.76979
7530.0,153.38522,1836.28669
7540.0,153.56226,1835.06017
7550.0,153.81287,1834.3149
7560.0,154.10173,1834.08998
7570.0,154.36604,1834.69282
7580.0,154.57157,1835.91628
7590.0,154.68218,1837.47472
7600.0,154.68556,1839.05348
7610.0,154.59071,1840.1899
7620.0,154.43703,1840.87626
7630.0,154.24675,1840.73353
7640.0,154.123,1840.11853
7650.0,154.05504,1839.00146
7660.0,154.08976,1837.64609
7670.0,154.17386,1836.44182
7680.0,154.35603,1835.54321
7690.0,154.6027,1835.03006
7700.0,154.86848,1835.1257
7710.0,155.0902,1835.92041
7720.0,155.2333,1837.06598
7730.0,155.30146,1838.57653
7740.0,155.23515,1839.70553
7750.0,155.12786,1840.59541
7760.0,154.983,1840.66392
7770.0,154.86877,1840.18013
7780.0,154.77417,1839.15075
7790.0,154.80022,1838.04511
7800.0,154.90499,1836.8732
7810.0,155.07961,1835.89063
7820.0,155.3026,1835.55365
7830.0,155.53498,1835.73744
7840.0,155.73786,1836.45088
7850.0,155.86356,1837.54969
7860.0,155.89588,1838.72784
7870.0,155.85872,1839.71314
7880.0,155.74608,1840.19648
7890.0,155.62947,1840.11735
7900.0,155.55093,1839.48237
7910.0,155.52658,1838.57107
7920.0,155.57989,1837.58545
7930.0,155.70176,1836.57924
7940.0,155.88151,1835.88421
7950.0,156.09019,1835.78824
7960.0,156.30609,1836.21448
7970.0,156.47378,1836.99534
7980.0,156.53648,1838.02701
7990.0,156.53989,1838.94684
8000.0,156.4753,1839.66323
8010.0,156.39717,1839.77015
8020.0,156.32927,1839.44064
8030.0,156.27089,1838.6906
8040.0,156.30602,1837.68595
8050.0,156.38919,1836.73612
8060.0,156.53379,1835.9514
8070.0,156.75673,1835.50684
8080.0,156.97171,1835.58225
8090.0,157.17225,1836.1968
8100.0,157.30874,1837.26394
8110.0,157.33269,1838.37515
8120.0,157.29864,1839.18163
8130.0,157.21129,1839.61614
8140.0,157.08538,1839.29816
8150.0,157.00377,1838.65789
8160.0,156.99751,1837.47645
8170.0,157.08957,1836.38739
8180.0,157.22412,1835.32211
8190.0,157.49114,1834.49964
8200.0,157.71737,1834.27053
8210.0,157.9714,1834.83224
8220.0,158.1404,1835.86809
8230.0,158.20608,1837.23551
8240.0,158.18251,1838.29271
8250.0,158.06383,1838.98212
8260.0,157.94602,1838.86464
8270.0,157.84979,1838.08057
8280.0,157.80523,1836.82974
8290.0,157.8557,1835.43672
8300.0,158.01497,1834.30031
8310.0,158.23867,1833.35031
8320.0,158.51632,1832.84725
8330.0,158.78236,1833.22654
8340.0,159.01125,1834.18914
8350.0,159.11223,1835.5603
8360.0,159.10787,1836.7287
8370.0,159.00667,1837.38703
8380.0,158.89458,1837.40777
8390.0,158.75635,1836.81882
8400.0,158.71828,1835.66089
8410.0,158.76739,1834.2246
8420.0,158.88557,1832.57489
8430.0,159.11354,1831.48055
8440.0,159.36937,1831.08098
8450.0,159.678,1831.02508
8460.0,159.94071,1831.99365
8470.0,160.09146,1833.20664
8480.0,160.12909,1834.60992
8490.0,160.04773,1835.46858
8500.0,159.89351,1835.40389
8510.0,159.75729,1834.6709
8520.0,159.70709,1833.43104
8530.0,159.73721,1831.75068
8540.0,159.88551,1829.97386
8550.0,160.12929,1828.46311
8560.0,160.4855,1827.89865
8570.0,160.81813,1828.07377
8580.0,161.08095,1828.89969
8590.0,161.20984,1830.42643
8600.0,161.19798,1831.7648
8610.0,161.06338,1832.43302
8620.0,160.91941,1832.02729
8630.0,160.78518,1830.92958
8640.0,160.77126,1829.49607
8650.0,160.86423,1827.43007
8660.0,161.07472,1825.45947
8670.0,161.34364,1824.24139
8680.0,161.70766,1823.47903
8690.0,162.02883,1823.65149
8700.0,162.28401,1824.61628
8710.0,162.40953,1825.89368
8720.0,162.39789,1827.12191
8730.0,162.28907,1827.34453
8740.0,162.1492,1826.83033
8750.0,162.04486,1825.54613
8760.0,162.004,1823.67895
8770.0,162.08181,1821.45092
8780.0,162.30112,1819.24756
8790.0,162.62794,1817.429
8800.0,162.99772,1816.46166
8810.0,163.41142,1816.48031
